UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2018,12,7,The assassin's blade : the Throne of glass novellas / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Fantasy","Bloomsbury,",2014.
Physical,Horizon,BOOK,2018,12,7,A court of thorns and roses / Sarah J. Maas.,,"Maas, Sarah J.","Fairies Juvenile fiction, Blessing and cursing Juvenile fiction, Captivity Juvenile fiction, Magic Juvenile fiction, Imaginary places Juvenile fiction, Tam Lin Legendary character Adaptations Juvenile fiction, Young adult fiction","Bloomsbury,",2015.
Digital,OverDrive,EBOOK,2018,12,3,"Kingdom of Ash: Throne of Glass Series, Book 7",,Sarah J. Maas,"Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2018
Physical,Horizon,BOOK,2018,12,4,A court of frost and starlight / Sarah J. Maas.,,"Maas, Sarah J.","Imaginary wars and battles Juvenile fiction, Courts and courtiers Juvenile fiction, Fairies Juvenile fiction, Winter solstice Juvenile fiction, Fantasy fiction, Young adult fiction","Bloomsbury,",2018.
Physical,Horizon,SOUNDDISC,2018,12,1,The assassin's blade : [the Throne of Glass novellas] / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Fiction, Fantasy, Young adult fiction, Fantasy fiction","Distributed by Brilliance Audio,",[2015]
Physical,Horizon,BOOK,2018,12,12,Queen of shadows / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Identity Psychology Juvenile fiction, Fantasy fiction, Young adult fiction","Bloomsbury,",2015.
Physical,Horizon,BOOK,2018,12,3,A court of wings and ruin / Sarah J. Maas.,,"Maas, Sarah J.","Fairy tales, Women spies Fiction, Young adult fiction, Fantasy fiction, War fiction, Spy fiction","Bloomsbury Publishing USA,",2017.
Physical,Horizon,BOOK,2018,12,16,Kingdom of ash / Sarah J. Maas.,,"Maas, Sarah J.","Queens Fiction, Assassins Fiction, Magic Fiction, Imaginary places Fiction, Imaginary wars and battles Fiction, Young adult fiction, Fantasy fiction","Bloomsbury,",2018.
Digital,OverDrive,EBOOK,2018,12,23,"Queen of Shadows: Throne of Glass Series, Book 4",,Sarah J. Maas,"Fantasy, Young Adult Fiction",Bloomsbury USA,2015
Digital,OverDrive,EBOOK,2018,12,25,"Empire of Storms: Throne of Glass Series, Book 5",,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2016
Physical,Horizon,BOOK,2018,12,8,Tower of dawn / Sarah J. Maas.,,"Maas, Sarah J.","Queens Juvenile fiction, Assassins Juvenile fiction, Magic Juvenile fiction, Fantasy, Kings queens rulers etc Fiction, Love Fiction, Romance fiction, Fantasy fiction, Fantasy fiction","Bloomsbury Children's Books,",2017.
Digital,OverDrive,EBOOK,2018,12,30,"Tower of Dawn: Throne of Glass Series, Book 6",,Sarah J. Maas,"Fantasy, Young Adult Fiction",Bloomsbury USA,2017
Physical,Horizon,BOOK,2018,12,12,Throne of glass / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Princes Juvenile fiction, Courts and courtiers Juvenile fiction, Prisoners Juvenile fiction, Fantasy","Bloomsbury,",2012.
Physical,Horizon,BOOK,2018,12,7,Catwoman : Soulstealer / Sarah J. Maas.,,"Maas, Sarah J.","Catwoman Fictitious character Juvenile fiction, Catwoman Fictitious character Fiction, Superheroes Juvenile fiction, Women superheroes Juvenile fiction, Comic strip characters Juvenile fiction, Catwoman Fictitious character Fiction, Criminals Fiction, Coming of age Fiction, Young adult fiction","Random House,",[2018]
Digital,OverDrive,EBOOK,2018,12,28,"A Court of Wings and Ruin: A Court of Thorns and Roses Series, Book 3",,Sarah J. Maas,"Fantasy, Young Adult Fiction",Bloomsbury USA,2017
Digital,OverDrive,EBOOK,2018,12,3,"The Assassin and the Underworld: Throne of Glass Series, Book 0.4",,Sarah J. Maas,"Fantasy, Short Stories, Young Adult Fiction",Bloomsbury USA,2013
Digital,OverDrive,EBOOK,2019,1,29,A Court of Wings and Ruin,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2017
Physical,Horizon,BOOK,2019,1,4,Catwoman : Soulstealer / Sarah J. Maas.,,"Maas, Sarah J.","Catwoman Fictitious character Juvenile fiction, Catwoman Fictitious character Fiction, Superheroes Juvenile fiction, Women superheroes Juvenile fiction, Comic strip characters Juvenile fiction, Catwoman Fictitious character Fiction, Criminals Fiction, Coming of age Fiction, Young adult fiction","Random House,",[2018]
Digital,OverDrive,EBOOK,2019,1,27,Empire of Storms,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2016
Physical,Horizon,BOOK,2019,1,4,Crown of midnight / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Fiction, Kings and rulers Fiction, Courts and courtiers Fiction, Fantasy, Young adult fiction, Fantasy fiction","Bloomsbury,","2014, ©2013."
Digital,OverDrive,EBOOK,2019,1,30,A Court of Mist and Fury,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2016
Digital,OverDrive,EBOOK,2019,1,22,Queen of Shadows,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2015
Digital,OverDrive,EBOOK,2019,1,3,The Assassin and the Pirate Lord: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,1,3,A court of wings and ruin / Sarah J. Maas.,,"Maas, Sarah J.","Fairy tales, Women spies Fiction, Young adult fiction, Fantasy fiction, War fiction, Spy fiction","Bloomsbury Publishing USA,",2017.
Physical,Horizon,BOOK,2019,1,10,A court of frost and starlight / Sarah J. Maas.,,"Maas, Sarah J.","Imaginary wars and battles Juvenile fiction, Courts and courtiers Juvenile fiction, Fairies Juvenile fiction, Winter solstice Juvenile fiction, Fantasy fiction, Young adult fiction","Bloomsbury,",2018.
Physical,Horizon,BOOK,2019,1,6,A court of mist and fury / Sarah J. Maas.,,"Maas, Sarah J.","Fairies Juvenile fiction, Imaginary places Juvenile fiction, Young adult fiction","Bloomsbury,",2016.
Physical,Horizon,BOOK,2019,1,24,Kingdom of ash / Sarah J. Maas.,,"Maas, Sarah J.","Queens Fiction, Assassins Fiction, Magic Fiction, Imaginary places Fiction, Imaginary wars and battles Fiction, Young adult fiction, Fantasy fiction","Bloomsbury,",2018.
Digital,OverDrive,EBOOK,2019,1,29,Tower of Dawn,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2017
Digital,OverDrive,EBOOK,2019,1,2,The Assassin and the Empire: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2012
Digital,OverDrive,AUDIOBOOK,2019,1,7,"A Court of Thorns and Roses: A Court of Thorns and Roses Series, Book 1 (unabridged) (Unabridged)",,Sarah J. Maas,Young Adult Fiction,"Recorded Books, LLC",2018
Physical,Horizon,BOOK,2019,1,9,The assassin's blade : the Throne of glass novellas / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Fantasy","Bloomsbury,",2014.
Digital,OverDrive,EBOOK,2019,1,3,The Assassin and the Desert: A Throne of Glass Novella,,Sarah J. Maas,"Fantasy, Romance, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2013
Physical,Horizon,BOOK,2019,1,9,Tower of dawn / Sarah J. Maas.,,"Maas, Sarah J.","Queens Juvenile fiction, Assassins Juvenile fiction, Magic Juvenile fiction, Fantasy, Kings queens rulers etc Fiction, Love Fiction, Romance fiction, Fantasy fiction, Fantasy fiction","Bloomsbury Children's Books,",2017.
Digital,OverDrive,EBOOK,2019,1,37,A Court of Frost and Starlight,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2018
Physical,Horizon,BOOK,2019,1,9,Throne of glass / Sarah J. Maas.,,"Maas, Sarah J.","Assassins Juvenile fiction, Princes Juvenile fiction, Courts and courtiers Juvenile fiction, Prisoners Juvenile fiction, Fantasy","Bloomsbury,",2012.
Digital,OverDrive,EBOOK,2019,1,22,Kingdom of Ash,,Sarah J. Maas,"Fantasy, Young Adult Fiction, Young Adult Literature",Bloomsbury USA,2018
